"id","bedroom","bathroom","Den","address","lat","long","price","pet_friendly","parking","pop","owner"
73,1,1,0,"28 Wellesley Street East, M4Y 0C4, Toronto, ON",43.66558810,-79.38302800,2000,0,0,0,"1"
74,2,1,0,"2548 Eglinton Ave W, M6M 1T1, Toronto, ON",43.69114660,-79.47143550,1850,1,0,0,"2"
75,2,1,0,"101 Sheridan Ave, Toronto, ON M6K 2G8, Canada",43.64885780,-79.43300720,1300,0,1,0,"4"
76,1,1,1,"33 Bay St, Toronto, ON M5J 2Z3, Canada",43.64267910,-79.37699380,2275,0,0,0,"2"
77,2,1,0,"Port Hope, ON, Canada",43.94917840,-78.29344680,1595,0,1,0,"3"
78,1,2,1,"10 Capreol Ct, Toronto, ON M5V 4B3, Canada",43.64022320,-79.39595100,2500,1,1,0,"2"
79,2,2,0,"235 Sherway Gardens Rd, Etobicoke, ON M9C 0A2, Canada",43.60926140,-79.55899800,2380,0,0,0,"1"
80,1,1,0,"14 York St, Toronto, ON M5J 0B1, Canada",43.64190810,-79.38177980,2000,0,1,0,"3"
81,2,1,0,"295 Dufferin St., Toronto, ON, M6K 1Z6",43.64035080,-79.42752160,2574,0,0,0,"1"
82,2,1,0,"295 Dufferin St., Toronto, ON, M6K 1Z6",43.64035080,-79.42752160,2591,0,1,0,"1"
83,1,1,0,"51 Guestville Ave, York, ON M6N 4N1, Canada",43.68269200,-79.48886560,1295,0,1,0,"4"
84,1,1,0,"89 Chestnut St, Toronto, ON M5G 1R1, Canada",43.65415470,-79.38521130,550,0,1,0,"2"
85,2,2,0,"Front St W, Toronto, ON M5V 3S8, Canada",43.64320770,-79.39211000,3200,0,0,0,"2"
86,2,2,0,"290 Adelaide St W, Toronto, ON M5V 1P6, Canada",43.64787000,-79.39113800,2350,1,1,0,"4"
